id,political_party,tweet
1343892841232277505,ciudadanos,"📡 @InesArrimadas ""Es indignante que el Gobierno piense más en sus socios que en el sufrimiento de los españoles"" #ActualidadCs   🤦‍♂️ España necesita menos indultos...  👉 Y más ayudas directas a nuestras pymes y autónomos.  https://t.co/Jm4vQvhru1"
1343892324368179202,ciudadanos,"🍊 Es posible dar carpetazo al procés si el constitucionalismo sale a votar el próximo #14F  📡 @InesArrimadas ""Tenemos el mejor equipo para gobernar en Cataluña pensando en todos los catalanes"" #ActualidadCs  👉Es momento de iniciar una nueva etapa de prosperidad y convivencia.  https://t.co/M1Mz2FsKL3"
1343891208968560640,ciudadanos,"🚨 Las próximas semanas van a estar marcadas por una tercera ola de #COVID19 a pesar de la vacunación.   📡 @InesArrimadas ""Le pido al Gobierno de España que trabaje más por los ciudadanos y menos por sus intereses"" #ActualidadCs   🇪🇸 Es lo que se merecen los españoles.  https://t.co/XPSNXYtClF"
1343890442065235969,ciudadanos,"📡 @InesArrimadas ""La oposición no es una sala de espera en la que se está hasta que se llega a gobernar"" #ActualidadCs  🍊 Cs va a apoyar los presupuestos de CCAA y ciudades importantes de España.  ✅ Hemos demostrado estar a la altura de las circunstancias.  https://t.co/xyNs7dpPHL"
1343889937880543234,ciudadanos,"📡 @InesArrimadas ""Hemos hecho una labor de oposición responsable"" #ActualidadCs   ✅ Ofrecimos una alternativa moderada y frenamos  subidas de impuestos a la clase media  ❌ Pero el Gobierno eligió la radicalidad del separatismo.  https://t.co/rUse8JgOZd"
1343889121362792450,ciudadanos,"😷 ¡Ya hemos empezado la campaña de vacunación!  📡 @InesArrimadas ""Estamos ante una gran noticia, un gran avance de la ciencia y de coordinación de la Unión Europea"" #ActualidadCs  👉 Pero debemos seguir con prudencia porque aún queda para acabar con esta pesadilla.  https://t.co/G8TLwhBCKN"
1343888080294600706,ciudadanos,"👉 Hoy tradicionalmente se hace un repaso de la labor del Gobierno.  ‼️ Pero este año, la valoración la harán los españoles y no los expertos elegidos a dedo por Sánchez  📡 @InesArrimadas ""Ha faltado liderazgo a nivel nacional para dirigir esta pandemia"" #ActualidadCs  https://t.co/FYTSk445VR"
1343887589263233024,ciudadanos,"⚫️Hemos perdido a más de 70.000 españoles por la pandemia.    📡@InesArrimadas ""Quiero acordarme de ellos y de los que sufren las consecuencias económicas de esta crisis "" #ActualidadCs  🧡Gracias a todos los sanitarios y trabajadores esenciales que han estado en primera línea.  https://t.co/Fc63kExdtj"
1343885754565611520,ciudadanos,"🍊 Esta mañana se ha reunido el Comité Permanente de Cs.   📡 Tras la reunión, @InesArrimadas ofrece una rueda de prensa para valorar la #ActualidadCs   🔛 ¡No te lo pierdas #EnDirecto!  https://t.co/N5MrAUzxrt"
1343860007524302849,ciudadanos,"⚠ Mientras los comerciantes catalanes sufren la crisis, las juventudes de ERC los atacan con campañas infames y racistas.   🛑 ¡Desde Cs no lo consentiremos!   🧡 Por ello hacemos una llamada a la solidaridad de los catalanes: cuando compres, piensa en TODOS.  https://t.co/4VmdttTHe5"
1343840430518054914,ciudadanos,"👋#BuenosDías, Ciudadanos.  🧡¡Seguimos trabajando para que nadie se quede atrás!  🍊En los #PresupuestosMadrid2021 apostamos por unas cuentas sociales para afrontar la #COVID19.  👉942 millones de gasto social 👉280 millones para dependencia 👉19 millones en ayudas alimentación  https://t.co/ltZcmzl0Db"
1343641370809016324,ciudadanos,"👉Mientras los hosteleros y comerciantes catalanes sufren... ⚠Los separatistas radicales les atacan con campañas llenas de odio.  ⚠Y el Govern sigue sin ofrecerles ningún tipo de apoyo.  📽 Hoy @carrizosacarlos les ha mostrado el apoyo de @CiutadansCs, ¡dale al play!  https://t.co/Dnuzq7Iszz"
1343611735765381121,ciudadanos,❌ ¡Basta ya! La convivencia en Cataluña no se recupera dando privilegios a quienes quieren romperla.   ⚠ El PSOE demuestra con sus actos que solo piensa en un tripartito con el separatismo.   ✋ No lo permitiremos.  ▶  https://t.co/semT6cuJ5f  https://t.co/ryRPjPWng4
1343567380073635842,ciudadanos,🍊Desde Cs seguimos trabajando por la regeneración y la transparencia.  ✅La Oficina contra el Fraude y la Corrupción ya es una realidad en #Andalucía.  ❌No vamos a permitir que se repitan las corruptelas practicadas durante décadas de gobiernos socialistas.  #STOPCorrupción  https://t.co/5zzMdhwLnP
1343531955858636802,ciudadanos,"🍊 Desde Cs exigimos la comparecencia del ministro de Sanidad para conocer las medidas frente a la nueva cepa de la #COVID19  📡 @CarrizosaCarlos ""Pediremos todas las explicaciones que hagan falta para mantener informados a todos los ciudadanos sobre la vacunación"" #ActualidadCs  https://t.co/IDn40C3MhS"
1343531550768574465,ciudadanos,"👉 Desde @CiutadansCs sabemos que el plan oculto del PSC es gobernar con ERC.   📡 @CarrizosaCarlos ""Exigimos que el señor Iceta se pronuncie"" #ActualidadCs  ⁉️ ¿Hasta cuándo el PSOE seguirá haciendo concesiones a quienes quieren romper España?  https://t.co/N2JqN72sPM"
1343531109246754818,ciudadanos,"👉Los hosteleros están soportando lo insoportable para no cerrar.   📡 @CarrizosaCarlos ""Las franjas horarias y las restricciones impuestas por la Generalitat les perjudican"" #ActualidadCs  ‼️ ¡Basta ya de improvisación! Hacen falta ayudas directas por parte del Govern.  https://t.co/92VXws3Sfe"
1343530555053404160,ciudadanos,"❗️Cataluña necesita dar carpetazo al procés.   📡 @CarrizosaCarlos ""Cs es la opción, la casa común del constitucionalismo"" #ActualidadCs   ✅ El próximo #14F es nuestra oportunidad para gobernar para todos los catalanes.  https://t.co/0AEEIV7rOD"
1343529237404377088,ciudadanos,"⚠️ Los hosteleros y comerciantes de Lleida están sufriendo una nueva campaña por parte de las juventudes de ERC  📡 @CarrizosaCarlos ""Han puesto pancartas para que no compren a quienes hablan español"" #ActualidadCs  ❌¡No permitiremos que sigan fomentando el odio entre catalanes!  https://t.co/2rcpbIlc0i"
1343522978584276992,ciudadanos,"🍊 @CarrizosaCarlos se ha reunido hoy con comerciantes, hosteleros y autónomos de Lleida.  📡 Acompáñanos #EnDirecto.   🔛 ¡No te pierdas la #ActualidadCs!  https://t.co/enYNHlOXhj"
1343492454675263489,ciudadanos,"⚽♥️ Cs y el F.C. Barcelona han llegado a un acuerdo para que el equipo azulgrana luzca en su camiseta el corazón tribandera a partir del 1 de enero.  ✅ Se defenderán así los valores de la igualdad, la libertad y la unión.  🗞 Más info aquí  https://t.co/ocxPc8D2Px #28deDiciembre  https://t.co/VHVkfCbHwz"
1343479592548499458,ciudadanos,"⚠️ ¡Podemos ha desconectado de la calle!   🎄 Estas Navidades se ha hablado de salud y de trabajo, que es lo que realmente preocupa a los españoles.  ❌ Pero ellos insisten en atacar nuestras instituciones.  📺 ¡Así de claro lo explica @begonavillacis! #LaHoraVillacís  https://t.co/JptaJskqIO"
